SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,NEAREST_STN,NEAREST_SCH,NEAREST_SCH_DIST,MONTH_SOLD,YEAR_SOLD
Hillman,265000,3,1,1,683,130,1985,Rockingham Station,KOLBE CATHOLIC COLLEGE,1.533116735585958,2,2009
Gooseberry Hill,640000,4,1,2,2142,178,1970,Midland Station,KALAMUNDA SENIOR HIGH SCHOOL,1.829470795225001,2,2016
Maylands,985000,5,3,2,421,273,1999,Belmont Park Station,TRINITY COLLEGE,2.9531674473711624,5,2019
Jandakot,740000,4,2,2,720,235,2001,Cockburn Central Station,LAKELAND SENIOR HIGH SCHOOL,1.2776844409855868,10,2017
Beldon,530000,4,2,2,709,106,1979,Edgewater Station,BELRIDGE SECONDARY COLLEGE,0.8660553333560936,5,2017
Jane Brook,566000,5,2,4,723,160,2000,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,2.4696036683068043,2,2015
South Perth,1210000,2,1,0,440,228,2011,McIver Station,WESLEY COLLEGE,0.4164879943991657,2,2020
Darlington,577500,3,2,2,2864,120,1999,Midland Station,TREETOPS MONTESSORI SCHOOL,2.2860887717493625,3,2017
Wandi,510000,3,2,2,402,155,2012,Kwinana Station,ATWELL COLLEGE,5.3321635963136815,4,2016
Salter Point,1200000,4,2,6,759,263,1980,Canning Bridge Station,AQUINAS COLLEGE,0.31685961714304683,11,2015
Cannington,523000,5,3,2,303,161,2004,Queens Park Station,ST NORBERT COLLEGE,0.7570417406345896,11,2016
Trigg,1390000,4,2,2,474,90,1975,Stirling Station,ST MARY'S ANGLICAN GIRLS' SCHOOL,0.8580626599723566,1,2019
Mount Helena,440000,3,1,1,2024,100,1975,Midland Station,EASTERN HILLS SENIOR HIGH SCHOOL,1.1579816488818913,4,2015
Thornlie,260000,3,1,0,664,112,1977,Thornlie Station,THORNLIE SENIOR HIGH SCHOOL,0.9162105230840341,5,2019
Bennett Springs,610000,4,2,2,544,263,2006,Ashfield Station,KIARA COLLEGE,2.004122932471393,8,2016
Brookdale,310000,3,1,2,700,64,1990,Armadale Station,DALE CHRISTIAN SCHOOL,0.8388028443238151,7,2014
Bellevue,310000,3,1,5,696,83,1990,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,2.4833849060856346,9,2013
Eden Hill,335000,3,1,2,699,119,1981,Bassendean Station,KIARA COLLEGE,1.622332069624563,6,2020
Hamersley,642500,5,2,3,745,206,1973,Warwick Station,WARWICK SENIOR HIGH SCHOOL,1.8064080232798243,8,2017
Leeming,600000,4,2,2,672,177,1993,Murdoch Station,LEEMING SENIOR HIGH SCHOOL,1.409090951272732,1,2019
Watermans Bay,425000,3,2,1,685,185,1977,Warwick Station,CARINE SENIOR HIGH SCHOOL,2.052192640602709,12,2011
Iluka,920000,4,2,2,616,212,2014,Currambine Station,PRENDIVILLE CATHOLIC COLLEGE,2.8645719717582594,11,2016
Eden Hill,485000,4,2,2,771,190,1984,Ashfield Station,HAMPTON SENIOR HIGH SCHOOL,0.7320434650930199,5,2018
Ashfield,426000,3,1,0,558,118,1999,Ashfield Station,CYRIL JACKSON SENIOR CAMPUS,0.7037485672606324,4,2007
Atwell,419000,4,2,2,600,161,1998,Cockburn Central Station,ATWELL COLLEGE,1.5107236241537991,7,2019
Spearwood,460000,4,2,2,455,148,1994,Cockburn Central Station,PORT SCHOOL,3.5247258188858805,9,2019
Henley Brook,495000,4,2,2,585,185,2003,East Guildford Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,0.9422826564388932,4,2015
Wanneroo,418000,4,2,2,504,161,2002,Joondalup Station,WANNEROO SECONDARY COLLEGE,1.0981903825671029,9,2019
Karawara,930000,4,2,2,480,266,2001,Canning Bridge Station,COMO SECONDARY COLLEGE,1.0753292277377062,9,2013
Gooseberry Hill,1000000,2,3,0,2023,170,2005,Midland Station,KALAMUNDA SENIOR HIGH SCHOOL,3.0840958041419815,6,2015
Darlington,560000,3,2,2,4046,216,1989,Midland Station,TREETOPS MONTESSORI SCHOOL,0.7511560542016718,1,2020
Applecross,2250000,5,3,5,771,362,2001,Canning Bridge Station,APPLECROSS SENIOR HIGH SCHOOL,1.846648886927692,9,2017
Dalkeith,2110000,3,1,1,1012,146,1940,Loch Street Station,CHRIST CHURCH GRAMMAR SCHOOL,1.6725875841030209,11,2020
Murdoch,610000,4,2,2,361,141,1995,Murdoch Station,KENNEDY BAPTIST COLLEGE,1.1999929538907308,4,2018
Heathridge,420000,3,1,0,784,127,1979,Joondalup Station,BELRIDGE SECONDARY COLLEGE,1.2939417135167766,9,2017
Karrinyup,1800000,3,3,0,789,341,2012,Stirling Station,ST MARY'S ANGLICAN GIRLS' SCHOOL,1.6610861308440616,5,2018
Ashfield,475000,3,1,0,861,393,1950,Ashfield Station,CYRIL JACKSON SENIOR CAMPUS,0.5809380672351848,2,2018
Melville,732000,3,1,1,825,130,1960,North Fremantle Station,MELVILLE SENIOR HIGH SCHOOL,0.9179160857605706,4,2018
Stoneville,585000,4,2,2,1800,139,1995,Midland Station,MUNDARING CHRISTIAN COLLEGE,3.1642289583066083,7,2017
Hilbert,365000,4,2,0,480,178,2014,Armadale Station,DALE CHRISTIAN SCHOOL,0.879074732202557,6,2020
Ashfield,477500,4,2,2,508,145,1992,Ashfield Station,CYRIL JACKSON SENIOR CAMPUS,0.5140317490217907,2,2017
Guildford,865000,3,2,2,754,160,1900,Mandurah Station,GUILDFORD GRAMMAR SCHOOL,0.9268260500173452,12,2013
Ashby,530000,4,2,2,576,230,2005,Joondalup Station,WANNEROO SECONDARY COLLEGE,2.8617161370697337,8,2014
Lesmurdie,610000,4,2,2,1387,190,1995,Madding,ST BRIGID'S COLLEGE,0.7269289421969246,6,2019
Watermans Bay,1405000,4,2,2,1067,190,1955,Warwick Station,CARINE SENIOR HIGH SCHOOL,1.74722777806271,10,2013
Shenton Park,1260000,3,1,1,364,150,1920,Shen,SHENTON COLLEGE,0.5700384333073919,12,2018
Bayswater,530000,3,1,2,726,125,1956,Meltham Station,CHISHOLM CATHOLIC COLLEGE,0.8431810867137808,2,2020
Carramar,430000,4,2,2,618,148,1997,Currambine Station,JOSEPH BANKS SECONDARY COLLEGE,1.9506230263672943,9,2018
Darlington,578000,3,1,2,2139,145,1988,Midland Station,TREETOPS MONTESSORI SCHOOL,1.689016367201479,9,2015
Clarkson,415000,4,2,2,578,166,2005,Clarkson Station,YOUTH FUTURES COMMUNITY SCHOOL,0.9673068764468876,9,2019
Greenmount,675000,4,2,2,2131,218,1995,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,1.3369442941751422,3,2020
Hammond Park,550000,5,2,2,621,225,2004,Cockburn Central Station,ATWELL COLLEGE,2.4585478493356017,10,2017
Winthrop,842000,4,2,2,749,209,1989,Bull Creek Station,CORPUS CHRISTI COLLEGE,1.4886622930820073,5,2015
Carramar,492000,4,2,2,602,194,2005,Currambine Station,JOSEPH BANKS SECONDARY COLLEGE,1.4830538288962132,10,2019
Mount Hawthorn,490000,3,1,1,984,102,1998,Glendalough Station,BOLD PARK COMMUNITY SCHOOL,0.7159050907342716,10,2018
Booragoon,519000,2,1,1,809,101,1971,Bull Creek Station,APPLECROSS SENIOR HIGH SCHOOL,1.2699264527947234,3,2017
Harrisdale,405000,3,2,2,346,141,2011,Cockburn Central Station,CAREY BAPTIST COLLEGE,1.6686565032174765,4,2018
Hocking,475000,4,2,2,533,198,2007,Edgewater Station,WANNEROO SECONDARY COLLEGE,1.1045330859135905,4,2018
Parkwood,565000,4,2,3,693,151,1995,Thornlie Station,LYNWOOD SENIOR HIGH SCHOOL,0.7820833475538249,7,2018
Applecross,2300000,4,3,2,1026,141,1960,Canning Bridge Station,AQUINAS COLLEGE,2.3197375703710734,1,2018
Maddington,375000,4,2,1,605,124,2000,Madding,LUMEN CHRISTI COLLEGE,2.4725521421146874,11,2020
Medina,202000,2,1,0,728,70,1953,Kwinana Station,GILMORE COLLEGE,0.4259440902123943,2,2018
Brigadoon,980000,4,2,2,18661,284,2008,Midland Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,9.887441338529396,8,2011
Beldon,505000,4,2,2,700,178,1988,Edgewater Station,BELRIDGE SECONDARY COLLEGE,0.3945966563620224,7,2019
Hilton,490000,3,1,1,527,100,1981,Fremantle Station,SETON CATHOLIC COLLEGE,1.1876436642930577,6,2016
Alkimos,475000,4,2,2,480,202,2011,Butler Station,BUTLER COLLEGE,6.166334776324544,1,2019
Dalkeith,2380000,4,3,2,1012,301,1952,Loch Street Station,CHRIST CHURCH GRAMMAR SCHOOL,1.8134037553480935,4,2016
Eden Hill,736500,4,2,3,709,227,2002,Ashfield Station,HAMPTON SENIOR HIGH SCHOOL,0.8243011601765878,1,2016
Hocking,530000,4,2,2,576,191,2000,Edgewater Station,ALTA-1,1.153980964799605,11,2017
Gnangara,850000,5,2,0,10008,500,1989,Edgewater Station,LANDSDALE CHRISTIAN SCHOOL,3.3658101991106704,5,2005
Karawara,755000,4,2,0,545,192,2002,Canning Bridge Station,CLONTARF ABORIGINAL COLLEGE,1.1599704464090579,4,2008
Atwell,447500,4,2,2,600,147,1995,Cockburn Central Station,ATWELL COLLEGE,1.4376504855396983,6,2020
Churchlands,1300000,4,2,2,733,293,1981,Glendalough Station,NEWMAN COLLEGE,0.1664816316787516,3,2018
Mardella,542000,4,2,2,2860,180,2004,Armadale Station,COURT GRAMMAR SCHOOL,4.445107159003898,9,2020
Fremantle,1060000,3,1,0,227,195,1993,Fremantle Station,CHRISTIAN BROTHERS' COLLEGE,0.9543077152233118,5,2019
Riverton,1100000,4,3,2,451,288,2010,Welshpool Station,CLONTARF ABORIGINAL COLLEGE,1.4758432819438476,7,2017
Glen Forrest,550000,4,2,2,1781,161,1981,Midland Station,HELENA COLLEGE,0.598768481689189,4,2019
Kelmscott,375000,3,2,1,809,137,1968,Kelmscott Station,KELMSCOTT SENIOR HIGH SCHOOL,1.3847567372453145,8,2018
Seville Grove,290000,4,2,6,519,130,2000,Sherwood Station,CECIL ANDREWS COLLEGE,1.0367357565998745,11,2019
Como,1450000,3,2,2,974,143,1950,Canning Bridge Station,PENRHOS COLLEGE,0.8623515015799814,8,2020
Parkwood,470500,3,1,2,686,97,1978,Thornlie Station,LYNWOOD SENIOR HIGH SCHOOL,0.280341768413958,5,2017
Stirling,1270000,4,3,5,501,339,2007,Stirling Station,SERVITE COLLEGE,1.6731841002172751,1,2019
Currambine,490000,4,2,2,439,145,1995,Currambine Station,LAKE JOONDALUP BAPTIST COLLEGE,1.5342346835207288,5,2018
Ashby,553000,4,2,2,620,204,2005,Joondalup Station,WANNEROO SECONDARY COLLEGE,3.243532687409953,4,2014
Bertram,380000,4,2,0,611,143,2006,Kwinana Station,THE KING'S COLLEGE,0.7829192075231979,12,2019
Shenton Park,1670000,5,3,2,675,250,1995,Shen,SHENTON COLLEGE,0.39720559100708897,12,2017
Bertram,355000,3,2,2,351,123,2010,Kwinana Station,THE KING'S COLLEGE,1.7008034516183612,8,2016
Ballajura,600000,4,2,0,829,243,1997,Meltham Station,BALLAJURA COMMUNITY COLLEGE,0.991816573111999,8,2020
Boya,785000,3,2,2,3268,250,1910,Midland Station,TREETOPS MONTESSORI SCHOOL,1.6999899655609756,10,2013
Churchlands,1180000,3,2,2,301,260,2009,Glendalough Station,NEWMAN COLLEGE,0.41381859090253004,5,2015
Hilton,535000,3,1,2,496,100,1951,Fremantle Station,SETON CATHOLIC COLLEGE,0.7816046611268557,2,2017
South Guildford,520000,4,2,2,702,182,2000,Woodbridge Station,GUILDFORD GRAMMAR SCHOOL,2.5584752798503456,6,2017
Mount Lawley,875000,3,1,1,511,137,1905,Mount Lawley Station,PERTH COLLEGE,1.189145864057283,3,2019
Currambine,694000,4,2,2,587,231,2003,Currambine Station,LAKE JOONDALUP BAPTIST COLLEGE,1.5198438897500843,12,2018
Alfred Cove,730000,4,2,2,1022,141,1961,Bull Creek Station,MELVILLE SENIOR HIGH SCHOOL,1.5599467681225092,12,2016
Tapping,361000,4,2,2,630,143,2000,Currambine Station,JOSEPH BANKS SECONDARY COLLEGE,2.1427307171218493,1,2018
Madeley,540000,4,2,2,432,188,2008,Whitfords Station,KINGSWAY CHRISTIAN COLLEGE,1.0096668736896364,1,2018
Merriwa,335000,4,2,2,533,130,2002,Butler Station,ALKIMOS BAPTIST COLLEGE,0.3043654456387553,1,2020
Orelia,295000,4,2,2,574,140,2005,Kwinana Station,GILMORE COLLEGE,0.9556063983620466,9,2017
Woodvale,553000,4,2,2,726,208,1995,Whitfords Station,WOODVALE SECONDARY COLLEGE,1.5550810551846397,6,2018
Mosman Park,1900000,4,3,2,600,261,2001,Vic,IONA PRESENTATION COLLEGE,1.1740749011405036,11,2017
The Vines,495000,4,2,2,448,193,1995,Midland Station,HOLY CROSS COLLEGE,4.94978162600698,5,2019
Middle Swan,432500,4,2,2,607,133,1992,Midland Station,SWAN CHRISTIAN COLLEGE,1.9478346608205968,2,2015
Heathridge,333000,3,1,1,366,95,1976,Edgewater Station,BELRIDGE SECONDARY COLLEGE,0.7423038703269136,4,2017
Banksia Grove,410000,3,2,2,578,158,2000,Currambine Station,JOSEPH BANKS SECONDARY COLLEGE,1.4011720571563309,1,2018
Manning,860000,3,1,4,980,139,1958,Canning Bridge Station,COMO SECONDARY COLLEGE,0.7385116451400277,10,2016
Kenwick,420000,4,2,2,601,150,1995,Madding,REHOBOTH CHRISTIAN COLLEGE,1.3789480887084444,4,2016
Byford,345000,4,2,2,458,168,1995,Armadale Station,BYFORD SECONDARY COLLEGE,1.8347541643134984,10,2020
Girrawheen,316000,3,1,1,692,91,1973,Warwick Station,WARWICK SENIOR HIGH SCHOOL,1.1940426081934437,12,2016
Lesmurdie,675000,3,2,2,1999,166,1908,Madding,LESMURDIE SENIOR HIGH SCHOOL,0.4728208867556303,9,2019
Mardella,270000,4,2,0,40553,262,2008,Armadale Station,COURT GRAMMAR SCHOOL,4.570506598413209,2,2007
Burns Beach,805000,4,2,2,558,235,2010,Currambine Station,LAKE JOONDALUP BAPTIST COLLEGE,3.19709124690903,3,2017
Cardup,590000,3,1,2,20506,99,1985,Armadale Station,BYFORD SECONDARY COLLEGE,2.499576549126276,9,2016
Haynes,187000,4,2,0,426,194,2014,Armadale Station,DALE CHRISTIAN SCHOOL,0.8404626022640487,5,2013
Kalamunda,690000,4,1,0,3343,158,1973,Madding,KALAMUNDA SENIOR HIGH SCHOOL,0.9338493048785774,9,2017
Daglish,1200000,3,2,2,756,168,1934,Daglish Station,SHENTON COLLEGE,1.7344469088041694,1,2010
Jolimont,925000,4,1,2,483,147,1910,Daglish Station,SHENTON COLLEGE,1.6596192043003175,4,2012
Huntingdale,410000,3,2,2,689,157,1985,Gosnells Station,SOUTHERN RIVER COLLEGE,0.5587953083263943,6,2017
St James,617500,3,2,3,583,180,1954,Welshpool Station,CANNING COLLEGE,1.8744902984170944,1,2018
Greenwood,584000,4,2,2,683,235,1982,Warwick Station,GREENWOOD COLLEGE,1.081961649399674,11,2018
The Vines,565000,4,2,2,725,232,1996,Midland Station,HOLY CROSS COLLEGE,3.659411511544513,5,2018
Merriwa,260000,4,2,2,555,128,2002,Butler Station,ALKIMOS BAPTIST COLLEGE,0.2520349123183125,8,2018
Secret Harbour,320000,4,2,2,608,177,1994,Warnbro Station,COMET BAY COLLEGE,2.3330087437434437,4,2019
Bull Creek,1270000,5,3,2,690,352,2001,Bull Creek Station,ALL SAINTS' COLLEGE,0.6465422470822609,5,2017
Swanbourne,1100000,3,2,0,663,138,1950,Swanbourne Station,SCOTCH COLLEGE,0.564436483800837,11,2014
Ridgewood,480000,5,2,2,621,253,1995,Clarkson Station,ALKIMOS BAPTIST COLLEGE,1.3499996400390717,5,2017
Singleton,420000,4,2,2,911,180,2006,Mandurah Station,COMET BAY COLLEGE,3.4035763105348282,11,2019
Samson,760000,4,2,2,752,229,1988,Murdoch Station,SETON CATHOLIC COLLEGE,0.5737022978238274,4,2015
Champion Lakes,265000,4,2,2,519,216,2014,Kelmscott Station,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,1.7321129438289091,2,2014
Caversham,410000,4,2,2,525,151,1999,Success Hill Station,KIARA COLLEGE,2.4857618334738043,5,2016
Orelia,216000,3,1,4,375,119,2008,Kwinana Station,GILMORE COLLEGE,0.8984912169991156,7,2020
Maylands,627000,4,1,2,1095,159,1965,Meltham Station,CHISHOLM CATHOLIC COLLEGE,2.406184124531538,6,2019
Currambine,511000,4,2,2,501,208,2003,Currambine Station,LAKE JOONDALUP BAPTIST COLLEGE,2.1945324408858933,10,2020
Calista,305000,3,1,2,765,97,1953,Wellard Station,GILMORE COLLEGE,0.9008685654190524,9,2013
North Perth,1010000,3,2,2,399,200,2010,Leederville Station,ARANMORE CATHOLIC COLLEGE,0.7629035769207458,11,2018
Leeming,730000,4,2,2,783,184,1993,Murdoch Station,LEEMING SENIOR HIGH SCHOOL,1.3741064613517755,5,2018
Mount Richon,735000,4,2,2,2030,296,2000,Armadale Station,ARMADALE SENIOR HIGH SCHOOL,0.5004928981811023,3,2013
Ellenbrook,479000,4,2,2,693,202,2005,Guildford Station,HOLY CROSS COLLEGE,1.0506715750864288,9,2019
Wanneroo,540000,4,2,2,693,191,1997,Edgewater Station,ALTA-1,1.4783699044712555,4,2020
Aveley,429000,4,2,2,480,143,2014,East Guildford Station,HOLY CROSS COLLEGE,0.8528410360649684,6,2019
Ocean Reef,865000,4,2,2,781,261,1995,Edgewater Station,OCEAN REEF SENIOR HIGH SCHOOL,0.7082997020652174,12,2017
Edgewater,411500,3,1,1,720,120,1987,Edgewater Station,MATER DEI COLLEGE,0.7480720219725769,1,2020
Lesmurdie,745000,4,2,2,1223,265,2000,Madding,ST BRIGID'S COLLEGE,0.9780463540193784,1,2018
Bullsbrook,320000,4,2,4,1012,149,1988,Midland Station,HOLY CROSS COLLEGE,11.804101268423267,8,2018
Aubin Grove,430000,3,2,2,362,136,2010,Cockburn Central Station,ATWELL COLLEGE,1.7159525642283395,11,2020
Darlington,779000,4,2,2,1922,250,1912,Midland Station,TREETOPS MONTESSORI SCHOOL,0.436369118322838,3,2017
Baldivis,432000,4,2,3,551,219,2011,Warnbro Station,TRANBY COLLEGE,1.2382034806218154,5,2020
Mount Nasura,695000,5,2,8,1767,218,1995,Armadale Station,JOHN CALVIN CHRISTIAN COLLEGE,1.4016669051083377,11,2014
Bertram,300000,4,2,2,403,153,1995,Kwinana Station,THE KING'S COLLEGE,0.7706900914765442,10,2019
Camillo,289000,3,1,1,690,92,1970,Kelmscott Station,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,1.1198301529460422,2,2020
Greenmount,730000,4,2,2,2067,213,2004,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,2.045909581825521,9,2013
Martin,1900000,5,3,0,30567,328,1970,Seaforth Station,LUMEN CHRISTI COLLEGE,4.5176434011469295,5,2014
Lesmurdie,660000,5,2,2,1924,258,1995,Madding,ST BRIGID'S COLLEGE,0.3588674487482714,11,2018
Stratton,370000,4,2,1,533,125,1995,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,2.595739228963218,10,2015
Henley Brook,528000,4,2,4,540,201,2001,Guildford Station,ELLENBROOK SECONDARY COLLEGE,1.42034700258605,4,2014
Midvale,435000,2,1,1,1052,98,1946,Midland Station,YOUTH FUTURES COMMUNITY SCHOOL,1.4197793234267264,3,2015
High Wycombe,455000,4,2,2,448,151,2014,Midland Station,YOUTH FUTURES COMMUNITY SCHOOL,4.519709261228943,1,2019
Koondoola,362000,4,1,0,901,105,1984,Warwick Station,MERCY COLLEGE,0.1575834010021918,10,2019
Myaree,439000,2,1,1,15488,78,1986,Bull Creek Station,MELVILLE SENIOR HIGH SCHOOL,0.8837086415790003,6,2014
Belmont,410000,3,2,3,170,130,2007,Burswood Station,BELMONT CITY COLLEGE,0.3073864774078701,4,2017
Oldbury,224000,3,2,0,59013,370,2010,Wellard Station,THE KING'S COLLEGE,5.213406655724631,1,2004
Hovea,165000,4,4,3,10007,217,1992,Midland Station,HELENA COLLEGE,3.4603517173645573,1,1993
Sawyers Valley,850000,3,1,3,14768,175,1920,Midland Station,MUNDARING CHRISTIAN COLLEGE,1.0754492083107836,1,2007
Hovea,220000,4,2,0,15452,164,1985,Midland Station,HELENA COLLEGE,4.445572894981822,10,1995
Coolbinia,710000,3,1,1,768,140,1950,Glendalough Station,ARANMORE CATHOLIC COLLEGE,1.4124495711581768,11,2013
Warwick,455000,3,1,2,728,103,1973,Warwick Station,WARWICK SENIOR HIGH SCHOOL,1.08750252285141,9,2015
Brigadoon,900000,3,2,4,17145,251,1997,Midland Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,9.501015613545293,10,2013
Woodlands,1140000,4,3,2,865,257,1958,Stirling Station,HALE SCHOOL,0.9026308821273342,6,2016
Lesmurdie,550000,4,3,2,1996,300,1969,Madding,LESMURDIE SENIOR HIGH SCHOOL,0.479627549143192,3,2016
Orange Grove,650000,3,1,3,4045,162,1938,Madding,ST FRANCIS' SCHOOL,2.9838709984520144,9,2014
Dianella,590000,4,2,2,683,203,1997,Mount Lawley Station,MORLEY SENIOR HIGH SCHOOL,1.7786193172337654,12,2019
Karnup,815000,3,3,2,24124,199,1996,Warnbro Station,COMET BAY COLLEGE,4.807708980563673,9,2014
Redcliffe,450000,4,2,2,420,175,1995,Success Hill Station,BELMONT CITY COLLEGE,1.8768618296100343,11,2018
Coolbinia,840000,3,1,2,683,108,1938,Glendalough Station,ARANMORE CATHOLIC COLLEGE,1.3476702800960234,10,2014
Hopeland,750000,4,2,2,91730,141,1985,Warnbro Station,BALDIVIS SECONDARY COLLEGE,6.210073093301988,9,2013
Kewdale,390000,3,2,1,270,115,2006,Queens Park Station,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,0.9446773439749376,4,2018
Herne Hill,1175000,3,2,1,62650,289,1991,Midland Station,SWAN CHRISTIAN COLLEGE,5.773987514114015,4,2013
Parkerville,705000,3,1,2,20013,192,1995,Midland Station,MUNDARING CHRISTIAN COLLEGE,3.7388715889375765,1,2020
Stoneville,485000,4,1,5,1800,150,1995,Midland Station,MUNDARING CHRISTIAN COLLEGE,3.2574121683581048,7,2015
Cloverdale,430000,4,3,0,269,149,2007,Burswood Station,BELMONT CITY COLLEGE,1.265591254331137,11,2020
Kewdale,920000,4,2,4,848,315,2013,Carlisle Station,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,0.7869649677935883,1,2017
Parkerville,445000,2,1,1,1497,120,1989,Midland Station,MUNDARING CHRISTIAN COLLEGE,4.223557027231074,10,2013
Hovea,900000,3,2,3,8812,220,1940,Midland Station,HELENA COLLEGE,1.7277640730341914,2,2014
Sawyers Valley,475000,4,2,2,1872,161,1995,Midland Station,MUNDARING CHRISTIAN COLLEGE,2.5841475321911367,10,2012
Stoneville,410000,4,1,1,2148,141,1978,Midland Station,MUNDARING CHRISTIAN COLLEGE,2.695069283871714,3,2012
Caversham,1500000,5,3,2,46416,353,1975,East Guildford Station,LA SALLE COLLEGE,2.547910362353128,11,2018
Belmont,480000,4,2,2,446,147,2010,Ashfield Station,BELMONT CITY COLLEGE,1.0197815956275105,12,2016
Hamilton Hill,430000,3,1,2,442,96,1955,Fremantle Station,PORT SCHOOL,0.4405735736851981,6,2019
Cardup,775000,4,2,2,20234,225,1998,Armadale Station,COURT GRAMMAR SCHOOL,1.8566092340557472,5,2017
Coolbinia,700000,3,1,2,768,144,1957,Glendalough Station,ARANMORE CATHOLIC COLLEGE,1.4193580971029802,10,2011
Cloverdale,400000,3,2,2,1046,130,2006,Burswood Station,BELMONT CITY COLLEGE,1.281327690174165,9,2017
Inglewood,760000,3,1,0,651,129,1950,Mount Lawley Station,MOUNT LAWLEY SENIOR HIGH SCHOOL,1.4846997492467968,2,2017
Redcliffe,452000,4,2,2,392,156,2003,Success Hill Station,BELMONT CITY COLLEGE,1.8909313765141196,3,2017
Stoneville,465000,5,1,3,1803,102,1995,Midland Station,MUNDARING CHRISTIAN COLLEGE,3.2846265467078,12,2013
Warwick,525000,3,1,3,730,122,1970,Warwick Station,WARWICK SENIOR HIGH SCHOOL,0.3666716356547397,10,2015
Thornlie,305000,4,1,1,774,107,1970,Thornlie Station,THORNLIE SENIOR HIGH SCHOOL,0.9204744717488624,3,2019
Coolbinia,785000,3,2,2,768,156,1935,Glendalough Station,ARANMORE CATHOLIC COLLEGE,1.4219213158591673,9,2013
Mahogany Creek,717500,4,2,2,14866,181,1995,Midland Station,MUNDARING CHRISTIAN COLLEGE,3.981251896371701,5,2008
Parkerville,1500000,5,3,4,44358,249,1990,Midland Station,MUNDARING CHRISTIAN COLLEGE,3.475564442811784,10,2016
Redcliffe,477000,3,2,5,462,186,1999,Success Hill Station,BELMONT CITY COLLEGE,1.8994526982316615,6,2017
Karrinyup,885000,3,2,2,512,261,1965,Warwick Station,CARINE SENIOR HIGH SCHOOL,0.9770759771596652,6,2019
Coolbinia,665000,3,1,2,569,127,1948,Glendalough Station,ARANMORE CATHOLIC COLLEGE,1.356497219958373,2,2012
Cannington,388000,3,1,1,490,120,1973,Queens Park Station,ST NORBERT COLLEGE,0.9078273444686435,6,2017
South Fremantle,1110000,5,2,2,585,223,2000,Fremantle Station,FREMANTLE COLLEGE,1.1409705695922232,1,2015
Swanbourne,1650000,4,3,2,358,250,1995,Swanbourne Station,SCOTCH COLLEGE,0.5734301370774595,6,2016
Midvale,350000,4,2,2,545,130,2001,Midland Station,YOUTH FUTURES COMMUNITY SCHOOL,1.5182332038586597,1,2013
Maylands,370000,3,1,1,240,71,1988,Meltham Station,CHISHOLM CATHOLIC COLLEGE,1.8012864482850497,11,2019
Manning,830000,4,2,2,397,160,1955,Canning Bridge Station,AQUINAS COLLEGE,0.9554342015316384,4,2017
Rockingham,297000,3,1,1,501,116,1995,Rockingham Station,ROCKINGHAM MONTESSORI SCHOOL,0.4788573900126262,7,2019
Trigg,905000,4,2,2,513,185,2001,Stirling Station,ST MARY'S ANGLICAN GIRLS' SCHOOL,0.9013022446037124,11,2020
Coogee,652000,3,2,2,356,168,2015,Cockburn Central Station,DIVINE MERCY COLLEGE,4.791624297627187,8,2017
Alfred Cove,680000,3,2,2,304,158,2000,Bull Creek Station,APPLECROSS SENIOR HIGH SCHOOL,1.3080658710019328,10,2020
Alfred Cove,653888,3,2,2,471,120,1995,Bull Creek Station,MELVILLE SENIOR HIGH SCHOOL,1.5599467681225092,11,2016
Bateman,675000,4,2,2,534,139,2008,Murdoch Station,CORPUS CHRISTI COLLEGE,0.6133090790163156,4,2014
North Lake,800000,4,3,2,338,332,1995,Murdoch Station,LEEMING SENIOR HIGH SCHOOL,1.4624006223538208,3,2013
Joondanna,592500,3,1,2,293,110,1946,Glendalough Station,SERVITE COLLEGE,0.9137835624831774,12,2017
Victoria Park,865000,4,1,8,676,176,1995,Vic,KENT STREET SENIOR HIGH SCHOOL,0.7559965759538575,2,2019
Jandakot,400000,3,2,2,775,134,1999,Cockburn Central Station,LAKELAND SENIOR HIGH SCHOOL,0.6729774684773574,11,2020
Maylands,440000,3,2,1,214,122,1995,Belmont Park Station,BELMONT CITY COLLEGE,2.9315474183173484,11,2020
Bassendean,380000,3,1,1,380,91,1986,Success Hill Station,CYRIL JACKSON SENIOR CAMPUS,1.3897319071545864,7,2019
Queens Park,415000,4,2,2,625,119,1995,Queens Park Station,ST NORBERT COLLEGE,0.5894934215115308,7,2020
Mount Pleasant,1425000,5,2,2,486,280,1995,Canning Bridge Station,APPLECROSS SENIOR HIGH SCHOOL,1.2657719443348825,5,2018
